zipcode,state,city,latitude,longitude,population,area_sq_miles,population_density,zcta,county_name
10001,NY,New York,40.7505,-73.9934,21102,0.282,74829.78723404257,True,New York County
10002,NY,New York,40.7156,-73.9877,81410,0.97,83927.8350515464,True,New York County
10003,NY,New York,40.7306,-73.9896,56024,0.42,133390.47619047618,True,New York County
10019,NY,New York,40.7658,-73.9826,43998,0.31,141929.03225806452,True,New York County
11368,NY,Corona,40.7496,-73.8526,107060,2.89,37044.98269896194,True,Queens County
90210,CA,Beverly Hills,34.0901,-118.4065,34109,5.71,5973.555166374781,True,Los Angeles County
90011,CA,Los Angeles,34.0069,-118.2586,102784,2.93,35079.86348122867,True,Los Angeles County
90650,CA,Norwalk,33.907,-118.0825,100808,9.21,10945.494028230183,True,Los Angeles County
91331,CA,Pacoima,34.256,-118.4194,98820,11.24,8791.814946619217,True,Los Angeles County
90401,CA,Santa Monica,34.0195,-118.4912,9263,1.47,6301.360544217687,True,Los Angeles County
60601,IL,Chicago,41.8827,-87.6233,25718,0.62,41480.645161290326,True,Cook County
60629,IL,Chicago,41.7754,-87.7124,109292,3.19,34260.81504702194,True,Cook County
60618,IL,Chicago,41.9436,-87.705,54393,2.33,23344.635193133046,True,Cook County
60647,IL,Chicago,41.9231,-87.7079,98220,3.67,26762.942779291552,True,Cook County
79936,TX,El Paso,31.7737,-106.2963,104427,15.32,6816.383812010444,True,El Paso County
75201,TX,Dallas,32.7767,-96.797,7560,2.83,2671.3780918727916,True,Dallas County
77001,TX,Houston,29.7604,-95.3698,41542,8.49,4893.050647820965,True,Harris County
78701,TX,Austin,30.2672,-97.7431,5885,2.64,2229.1666666666665,True,Travis County
30301,GA,Atlanta,33.7627,-84.4224,18570,2.83,6561.8374558303885,True,Fulton County
30309,GA,Atlanta,33.789,-84.388,8307,1.32,6293.181818181818,True,Fulton County
30318,GA,Atlanta,33.7973,-84.4277,12489,3.67,3402.9972752043595,True,Fulton County
33101,FL,Miami,25.7617,-80.1918,2069,1.23,1682.1138211382115,True,Miami-Dade County
33139,FL,Miami Beach,25.7907,-80.13,16005,1.56,10259.615384615385,True,Miami-Dade County
32801,FL,Orlando,28.5383,-81.3792,17140,4.67,3670.235546038544,True,Orange County
33602,FL,Tampa,27.9506,-82.4572,24119,2.14,11270.56074766355,True,Hillsborough County
98101,WA,Seattle,47.6062,-122.3321,8312,1.85,4492.9729729729725,True,King County
98121,WA,Seattle,47.6131,-122.35,12781,1.32,9682.575757575758,True,King County
98004,WA,Bellevue,47.6101,-122.2015,14190,13.2,1075.0,True,King County
02101,MA,Boston,42.3601,-71.0589,4963,1.04,4772.115384615385,True,Suffolk County
02116,MA,Boston,42.3467,-71.0724,19857,0.42,47278.57142857143,True,Suffolk County
02134,MA,Allston,42.3533,-71.1322,28621,1.94,14753.092783505155,True,Suffolk County
85001,AZ,Phoenix,33.4484,-112.074,2529,2.33,1085.4077253218884,True,Maricopa County
85014,AZ,Phoenix,33.4942,-112.0404,48043,11.64,4127.405498281787,True,Maricopa County
85254,AZ,Scottsdale,33.6687,-111.9153,47206,41.23,1144.9430026679604,True,Maricopa County
80202,CO,Denver,39.7533,-104.991,18581,4.32,4301.157407407407,True,Denver County
80205,CO,Denver,39.7225,-104.9531,27994,3.17,8830.914826498423,True,Denver County
94102,CA,San Francisco,37.7749,-122.4194,24369,1.84,13244.021739130434,True,San Francisco County
94107,CA,San Francisco,37.7599,-122.3991,27558,2.85,9669.473684210527,True,San Francisco County
94301,CA,Palo Alto,37.4419,-122.143,16191,6.47,2502.4729520865535,True,Santa Clara County
97201,OR,Portland,45.5152,-122.6784,13829,3.24,4268.209876543209,True,Multnomah County
97210,OR,Portland,45.5311,-122.6953,14431,1.45,9952.41379310345,True,Multnomah County
89101,NV,Las Vegas,36.1699,-115.1398,47363,23.45,2019.7441364605545,True,Clark County
89109,NV,Las Vegas,36.1147,-115.1728,18776,3.93,4777.608142493638,True,Clark County
59718,MT,Bozeman,45.677,-111.0429,12650,45.3,279.2494481236203,True,Bozeman County
82414,WY,Cody,44.5263,-109.0565,9520,234.7,40.56242011077972,True,Cody County
58701,ND,Bismarck,46.8083,-100.7837,33642,89.2,377.152466367713,True,Bismarck County
57701,SD,Rapid City,44.0805,-103.231,25310,156.8,161.4158163265306,True,Rapid City County
83701,ID,Boise,43.615,-116.2023,19304,67.4,286.4094955489614,True,Boise County
